City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,vilyuchinsk,52.9306,158.4028,10.15,53,10,5.61,RU,1696996553
302,machakos,-1.5167,37.2667,15.97,84,79,1.1,KE,1696996553
303,kiffa,16.6166,-11.4045,32.69,33,83,3.4,MR,1696996553
304,yarmouth,41.7057,-70.2286,14.42,91,0,1.79,US,1696996554
305,praia da vitoria,38.7333,-27.0667,20.98,83,20,8.3,PT,1696996554
306,yaren,-0.5472,166.916,29.02,68,50,4.19,NR,1696996554
307,kuloy,61.0305,42.4925,1.72,96,84,1.82,RU,1696996554
308,kavieng,-2.5744,150.7967,29.13,74,77,4.67,PG,1696996554
309,kerikeri,-35.2268,173.9474,18.28,69,37,2.24,NZ,1696996554
310,aykhal,66.0,111.5,5.59,92,100,13.41,RU,1696996554
311,isangel,-19.55,169.2667,27.06,57,75,4.63,VU,1696996367
312,pathein,16.7833,94.7333,29.1,75,46,2.8,MM,1696996554
313,urucara,-2.5364,-57.76,27.66,40,28,0.26,BR,1696996555
314,alto barinas,8.5931,-70.2261,23.37,91,87,2.42,VE,1696996555
315,nuku'alofa,-21.1333,-175.2,24.19,60,40,3.6,TO,1696996555
316,huamachuco,-7.8,-78.0667,10.0,81,3,1.93,PE,1696996555
317,garhwa,24.1833,83.8167,28.86,60,0,2.62,IN,1696996555
318,kirensk,57.7853,108.1119,11.68,71,80,3.58,RU,1696996555
319,noosa heads,-26.3833,153.15,26.3,62,6,4.71,AU,1696996555
320,cadale,2.7603,46.3222,26.4,82,44,5.66,SO,1696996555
321,klaksvik,62.2266,-6.589,5.51,87,68,15.31,FO,1696996555
322,sinan,34.8262,126.1086,23.06,58,5,1.14,KR,1696996555
323,timbuktu,16.7735,-3.0074,32.31,19,56,2.91,ML,1696996556
324,puerto san jose,13.9256,-90.8244,26.11,88,100,1.7,GT,1696996556
325,usogorsk,63.4106,48.6872,2.59,71,100,2.1,RU,1696996556
326,anastacio,-20.4836,-55.8069,28.08,51,39,1.61,BR,1696996449
327,nova sintra,14.8667,-24.7167,23.78,77,100,2.99,CV,1696996556
328,santa ana,33.7456,-117.8678,20.86,83,100,3.09,US,1696996318
329,nuuk,64.1835,-51.7216,-0.66,100,100,0.0,GL,1696996556
330,weno,7.4515,151.8468,31.97,74,100,3.6,FM,1696996556
331,lazaro cardenas,17.9583,-102.2,24.05,93,100,0.18,MX,1696996406
332,anton lizardo,19.05,-95.9833,26.57,85,100,1.42,MX,1696996556
333,imamoglu,37.2651,35.6572,19.57,62,0,1.57,TR,1696996557
334,mezhdurechenskiy,59.6,65.9333,6.84,55,100,6.26,RU,1696996557
335,natal,-5.795,-35.2094,26.12,78,20,4.63,BR,1696996434
336,jiangzi,28.95,89.6333,6.74,35,31,3.38,CN,1696996557
337,nuevo casas grandes,30.4167,-107.9167,19.43,40,27,2.51,MX,1696996557
338,waingapu,-9.6567,120.2641,31.61,49,6,5.3,ID,1696996557
339,yeppoon,-23.1333,150.7333,28.88,59,0,6.04,AU,1696996557
340,minab,27.1467,57.0801,30.6,56,0,0.36,IR,1696996557
341,hsinchu,24.8036,120.9686,27.99,59,13,4.02,TW,1696996557
342,rosetta,31.4044,30.4164,23.02,67,87,4.21,EG,1696996558
343,pandan,14.0453,124.1694,29.81,69,100,3.41,PH,1696996558
